,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,,,,,,0.01,0.01
1,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
2,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,,0.01,
3,0.03,0.03,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,
4,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.04,0.01
5,0.04,0.04,0.02,0.01,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.04,
6,0.04,0.04,0.02,0.01,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,
7,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
8,0.01,0.01,,,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,,0.03,
9,0.01,0.01,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
10,0.07,0.07,0.04,0.02,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.09,0.02,0.02,0.03,
11,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.04,0.02,0.05,
12,0.03,0.03,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,,
13,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.03,
14,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
15,0.03,0.03,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,
16,0.01,0.01,0.01,,0.01,0.02,0.03,0.02,0.02,0.03,0.03,0.06,0.02,0.01,0.03,
17,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
18,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
19,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,,,,0.01,0.01,0.01,
20,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,
21,0.04,0.04,0.02,0.01,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.04,
22,0.04,0.04,0.02,0.01,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.04,0.01,0.01,0.01,
23,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,0.01,0.03,
24,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,,0.02,
25,0.03,0.03,0.01,0.01,0.03,0.03,0.04,0.02,0.02,0.03,0.03,0.04,0.01,0.01,0.03,
26,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,,0.01,0.01,,0.01,,0.01,
27,0.01,0.01,,,0.01,,,,,,,0.01,,,0.01,
28,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,
29,0.03,0.03,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,
30,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,
31,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
