,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Log_Close,Moving_Average_5,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Long_EMA,Moving_Average_15,Close_Inverse,Expanding_Mean,Lower_Band
0,0.12,0.1,0.06,0.1,0.03,0.07,0.08,0.04,0.07,0.02,0.02,0.04,,0.11,0.07,
1,0.01,0.01,0.01,0.01,,0.01,0.01,0.06,0.02,0.01,0.01,0.02,0.03,0.01,0.01,0.03
2,0.01,0.01,0.01,0.01,,0.01,,0.01,,,,0.01,,0.01,,
3,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,,,0.03,,0.01
4,0.02,0.02,0.01,0.02,,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,,0.04
5,0.03,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,0.03,,0.02
6,0.04,0.04,0.02,0.03,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.04,,0.03
7,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,,0.01,0.03,,0.01
8,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,,0.03
9,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,0.01,,0.01,0.02,,0.01
10,0.04,0.04,0.02,0.03,0.01,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.04,,0.04
11,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.02,0.02,,0.01,0.01,,0.04
12,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,0.02,,0.01
13,0.04,0.04,0.02,0.03,0.01,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.04,,0.01
14,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,,0.05
15,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,,0.02,,
16,0.01,0.01,0.01,0.01,,0.01,,,,,,,,0.01,,
17,0.01,0.01,,,,,,0.01,,,,,,0.01,,
18,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,,
19,0.01,0.01,0.01,0.01,,0.01,,,,0.01,0.01,,0.01,0.01,,0.01
20,0.03,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,,0.03,,0.01
21,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,,0.04
22,0.03,0.03,0.02,0.04,0.01,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.03,,0.02
23,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,,0.01
24,0.01,0.01,0.01,0.02,,0.02,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,,0.01
25,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,0.01
26,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.02
27,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,,,0.01,,0.02,,0.01
28,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,,0.02
29,,,,,,0.01,0.01,0.02,0.01,0.01,0.01,,0.01,,,0.01
30,0.05,0.05,0.03,0.06,0.01,0.05,0.04,0.07,0.03,0.04,0.04,0.02,0.02,0.06,,0.02
31,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,,0.04
