,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean
0,0.03,0.03,0.01,0.01,0.03,0.02,0.01,0.01,,0.01,,,,,,0.01
1,0.01,0.01,,,0.01,0.01,0.01,,0.01,,0.01,0.01,,,0.02,
2,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
3,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.04,0.01
4,0.01,0.01,0.01,,0.01,0.01,0.01,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.01
5,0.03,0.03,0.02,0.01,0.03,0.03,0.03,0.01,0.03,0.01,0.01,0.01,0.01,,0.01,
6,0.08,0.08,0.04,0.02,0.08,0.07,0.06,0.04,0.09,0.04,0.03,0.03,0.03,0.02,0.02,
7,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.02,0.07,
8,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01,,0.02,
9,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.02,
10,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,
11,0.01,0.01,0.01,,0.01,0.01,,,,,,,0.01,0.01,,
12,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.04,
13,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,,
14,0.03,0.03,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,
15,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01,,0.04,
16,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
17,0.02,0.02,0.01,,0.02,0.03,0.03,0.02,0.04,0.02,0.02,0.02,0.01,0.01,0.03,
18,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,
19,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.01,,,0.01,
20,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,
21,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,,,,,0.02,
22,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,
23,0.01,0.01,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
24,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.03,
25,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
26,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,,
27,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,0.01,
28,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
29,0.01,0.01,0.01,,0.01,,,,,,0.01,0.01,0.01,,0.01,
30,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,,,,,,,
31,0.01,0.01,,,0.01,,,,,,,,,,,
