,Feature,Importance
17,Expanding_Mean,0.082319714
16,Long_EMA,0.011438498
15,Moving_Average_15,0.009416249
5,Close_Inverse,0.006528277
6,Moving_Average_3,0.0063319365
7,Close_Cubed,0.0057766484
8,Moving_Average_5,0.005440046
4,Close_Squared,0.0048554237
12,Moving_Average_10,0.004709427
9,EMA,0.0046663918
1,Cumulative_Returns,0.004298784
13,Lower_Band,0.004148869
14,Upper_Band,0.004094245
11,Rolling_Mean,0.0038195155
10,Short_EMA,0.003124443
3,Log_Close,0.0025960621
2,Square_Root_Close,0.0018421521
0,Close,0.0013754601
