,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Expanding_Mean
0,0.08,0.07,0.04,0.01,0.08,0.06,0.04,0.05,0.04,0.02,0.02,0.02,,0.02,0.04
1,0.11,0.11,0.06,0.02,0.11,0.12,0.11,0.09,0.09,0.09,0.09,0.06,0.06,0.06,0.04
2,0.05,0.05,0.03,0.01,0.05,0.04,0.02,0.02,0.02,0.03,0.03,0.07,0.05,0.03,0.02
3,0.12,0.12,0.06,0.02,0.11,0.09,0.07,0.06,0.05,0.06,0.06,0.1,0.04,0.02,
4,0.06,0.06,0.03,0.01,0.07,0.07,0.08,0.08,0.08,0.1,0.1,0.06,0.09,0.06,0.02
5,0.03,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.02,0.01,0.01,,0.03,0.03,0.02
6,0.05,0.05,0.03,0.01,0.05,0.06,0.05,0.04,0.03,0.04,0.04,0.03,0.03,0.01,0.01
7,0.04,0.04,0.02,0.01,0.04,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01
8,0.02,0.02,0.01,,0.02,0.03,0.03,0.01,0.01,0.01,0.01,,,,
9,0.07,0.07,0.03,0.01,0.07,0.07,0.06,0.04,0.04,0.04,0.04,0.02,0.03,0.02,
10,0.03,0.03,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.01,
11,0.05,0.05,0.03,0.01,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.05,0.03,0.02,
12,0.09,0.09,0.04,0.02,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.09,0.07,0.05,0.01
13,0.03,0.03,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.04,0.03,0.01
14,0.02,0.02,0.01,,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01
15,0.05,0.05,0.03,0.01,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
16,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01
17,0.03,0.03,0.02,0.01,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.02,
18,0.03,0.03,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.01,
19,0.05,0.05,0.03,0.01,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,
20,0.03,0.03,0.01,,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.01,,
21,0.09,0.09,0.04,0.02,0.08,0.09,0.08,0.06,0.05,0.05,0.05,0.03,0.03,0.03,
22,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0.04,0.03,0.01,
23,0.02,0.02,0.01,,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.01,
24,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
25,0.03,0.03,0.01,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.01,0.01,
26,0.04,0.04,0.02,0.01,0.04,0.03,0.03,0.01,0.01,0.01,0.01,0.01,,,
27,0.04,0.04,0.02,0.01,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.02,
28,0.02,0.02,0.01,,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.07,0.04,0.03,
29,0.03,0.03,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,
30,0.06,0.06,0.03,0.01,0.06,0.05,0.04,0.02,0.02,0.01,0.01,0.02,0.01,0.01,
31,0.04,0.04,0.02,0.01,0.04,0.02,0.01,0.02,0.02,0.03,0.03,0.05,0.02,0.01,
