,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Close_Cubed,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Expanding_Mean,Long_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Lower_Band
0,0.02,0.02,0.01,0.01,0.05,0.02,0.08,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,
1,0.02,0.02,0.01,,0.04,0.02,0.06,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02
2,0.02,0.02,0.01,0.01,0.05,0.02,0.08,0.02,0.02,0.01,0.01,,,0.01,0.01,0.02,,
3,0.03,0.03,0.01,0.01,0.05,0.03,0.08,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01
4,0.02,0.02,0.01,,0.04,0.02,0.06,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02
5,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.03
6,0.02,0.02,0.01,,0.05,0.02,0.07,0.03,0.03,0.02,0.02,,0.01,0.02,0.02,0.02,0.01,0.03
7,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,,,,,0.01,0.01,0.01,0.01,0.01
8,0.04,0.04,0.02,0.01,0.09,0.04,0.13,0.04,0.03,0.02,0.02,,0.01,0.02,0.02,0.04,0.01,0.01
9,0.01,0.01,,,0.02,0.01,0.03,0.01,0.01,0.01,0.01,,0.01,0.02,0.02,,0.02,0.04
10,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01
